ID,Sex,Age,Salary,Spending_Score,NewColumn,Customer_Satisfaction
94,0,40.0,60.0,40.0,1,Unsatisfied
95,0,32.0,60.0,42.0,1,Unsatisfied
96,1,24.0,60.0,52.0,1,Unsatisfied
97,0,47.0,60.0,47.0,1,Unsatisfied
98,0,27.0,60.0,50.0,1,Unsatisfied
99,1,48.0,61.0,42.0,1,Unsatisfied
100,1,20.0,61.0,49.0,1,Unsatisfied
101,0,23.0,62.0,41.0,1,Unsatisfied
102,0,49.0,62.0,48.0,1,Unsatisfied
103,1,67.0,62.0,59.0,1,Unsatisfied
104,1,26.0,62.0,55.0,1,Unsatisfied
105,1,49.0,62.0,56.0,1,Unsatisfied
106,0,21.0,62.0,42.0,1,Unsatisfied
107,0,66.0,63.0,50.0,1,Unsatisfied
108,1,54.0,63.0,46.0,1,Unsatisfied
109,1,68.0,63.0,43.0,1,Unsatisfied
110,1,66.0,63.0,48.0,1,Unsatisfied
111,1,65.0,63.0,52.0,1,Unsatisfied
112,0,19.0,63.0,54.0,1,Unsatisfied
113,0,38.0,64.0,42.0,1,Unsatisfied
114,1,19.0,64.0,46.0,1,Unsatisfied
115,0,18.0,65.0,48.0,1,Unsatisfied
116,0,19.0,65.0,50.0,1,Unsatisfied
117,0,63.0,65.0,43.0,1,Unsatisfied
118,0,49.0,65.0,59.0,1,Unsatisfied
119,0,51.0,67.0,43.0,1,Unsatisfied
120,0,50.0,67.0,57.0,1,Unsatisfied
121,1,27.0,67.0,56.0,1,Unsatisfied
122,0,38.0,67.0,40.0,1,Unsatisfied
123,0,40.0,69.0,58.0,1,Unsatisfied
124,1,39.0,69.0,91.0,1,Satisfied
125,0,23.0,70.0,29.0,1,Unsatisfied
126,0,31.0,70.0,77.0,1,Satisfied
127,1,43.0,71.0,35.0,1,Unsatisfied
128,1,40.0,71.0,95.0,1,Satisfied
129,1,59.0,71.0,11.0,1,Unsatisfied
130,1,38.0,71.0,75.0,1,Satisfied
131,1,47.0,71.0,9.0,1,Unsatisfied
132,1,39.0,71.0,75.0,1,Satisfied
133,0,25.0,72.0,34.0,1,Unsatisfied
134,0,31.0,72.0,71.0,1,Satisfied
135,1,20.0,73.0,5.0,1,Unsatisfied
136,0,29.0,73.0,88.0,1,Satisfied
137,0,44.0,73.0,7.0,1,Unsatisfied
138,1,32.0,73.0,73.0,1,Satisfied
139,1,19.0,74.0,10.0,1,Unsatisfied
140,0,35.0,74.0,72.0,1,Satisfied
141,0,57.0,75.0,5.0,1,Unsatisfied
142,1,32.0,75.0,93.0,1,Satisfied
143,0,28.0,76.0,40.0,1,Unsatisfied
144,0,32.0,76.0,87.0,1,Satisfied
145,1,25.0,77.0,12.0,1,Unsatisfied
146,1,28.0,77.0,97.0,1,Satisfied
147,1,48.0,77.0,36.0,1,Unsatisfied
148,0,32.0,77.0,74.0,1,Satisfied
149,0,34.0,78.0,22.0,1,Unsatisfied
150,1,34.0,78.0,90.0,1,Satisfied
151,1,43.0,78.0,17.0,1,Unsatisfied
152,1,39.0,78.0,88.0,1,Satisfied
153,0,44.0,78.0,20.0,1,Unsatisfied
154,0,38.0,78.0,76.0,1,Satisfied
155,0,47.0,78.0,16.0,1,Unsatisfied
156,0,27.0,78.0,89.0,1,Satisfied
157,1,37.0,78.0,1.0,1,Unsatisfied
158,0,30.0,78.0,78.0,1,Satisfied
159,1,34.0,78.0,1.0,1,Unsatisfied
160,0,30.0,78.0,73.0,1,Satisfied
161,0,56.0,79.0,35.0,1,Unsatisfied
162,0,29.0,79.0,83.0,1,Satisfied
163,1,19.0,81.0,5.0,1,Unsatisfied
164,0,31.0,81.0,93.0,1,Satisfied
165,1,50.0,85.0,26.0,1,Unsatisfied
166,0,36.0,85.0,75.0,1,Satisfied
167,1,42.0,86.0,20.0,1,Unsatisfied
168,0,33.0,86.0,95.0,1,Satisfied
169,0,36.0,87.0,27.0,1,Unsatisfied
170,1,32.0,87.0,63.0,1,Unsatisfied
171,1,40.0,87.0,13.0,1,Unsatisfied
172,1,28.0,87.0,75.0,1,Satisfied
173,1,36.0,87.0,10.0,1,Unsatisfied
174,1,36.0,87.0,92.0,1,Satisfied
175,0,52.0,88.0,13.0,1,Unsatisfied
176,0,30.0,88.0,86.0,1,Satisfied
177,1,58.0,88.0,15.0,1,Unsatisfied
178,1,27.0,88.0,69.0,1,Unsatisfied
179,1,59.0,93.0,14.0,1,Unsatisfied
180,1,35.0,93.0,90.0,1,Satisfied
181,0,37.0,97.0,32.0,1,Unsatisfied
182,0,32.0,97.0,86.0,1,Satisfied
183,1,46.0,98.0,15.0,1,Unsatisfied
184,0,29.0,98.0,88.0,1,Satisfied
185,0,41.0,99.0,39.0,1,Unsatisfied
186,1,30.0,99.0,97.0,1,Satisfied
187,0,54.0,101.0,24.0,1,Unsatisfied
188,1,28.0,101.0,68.0,1,Unsatisfied
189,0,41.0,103.0,17.0,1,Unsatisfied
190,0,36.0,103.0,85.0,1,Satisfied
191,0,34.0,103.0,23.0,1,Unsatisfied
192,0,32.0,103.0,69.0,1,Unsatisfied
193,1,33.0,113.0,8.0,1,Unsatisfied
194,0,38.0,113.0,91.0,1,Satisfied
195,0,47.0,120.0,16.0,1,Unsatisfied
196,0,35.0,120.0,79.0,1,Satisfied
197,0,45.0,126.0,28.0,1,Unsatisfied
198,1,32.0,126.0,74.0,1,Satisfied
199,1,32.0,137.0,18.0,1,Unsatisfied
200,1,30.0,137.0,83.0,1,Satisfied
